elapsed_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,rb_raw_x_m,rb_raw_y_m,rb_raw_z_m,rb_qx,rb_qy,rb_qz,rb_qw,rb_corrected_x_m,rb_corrected_y_m,rb_corrected_z_m,rb_aligned_x_m,rb_aligned_y_m,rb_aligned_z_m,mocap_age_ms,error_mm
14.9281,0.187941,0.195544,1.241886,-0.3509,7.6931,177.5137,-0.197249,2.04386,-0.117071,-0.048761,-0.002411,-0.045205,0.997784,-0.195594,2.066531,-0.104329,0.190324,0.186154,1.24242,3.367,9.7028
15.0761,0.189008,0.199935,1.238894,-0.4189,7.7557,177.5975,-0.193823,2.040759,-0.114221,-0.050988,-0.003317,-0.046072,0.997631,-0.192151,2.063485,-0.101579,0.19137,0.190448,1.239395,1.219,9.7893
15.2235,0.190345,0.205448,1.235058,-0.5048,7.8351,177.7034,-0.189713,2.037105,-0.110838,-0.052024,-0.003367,-0.04285,0.99772,-0.188184,2.059868,-0.098244,0.192727,0.195468,1.2358,6.83,10.2869
15.3736,0.192001,0.212296,1.230166,-0.6126,7.9353,177.836,-0.184379,2.032206,-0.106429,-0.053468,-0.000994,-0.044237,0.997589,-0.182722,2.054998,-0.093903,0.194367,0.202272,1.230963,5.538,10.3298
15.5206,0.193757,0.219583,1.224802,-0.7287,8.0438,177.9785,-0.178183,2.026539,-0.101546,-0.054617,-0.00054,-0.044726,0.997505,-0.17649,2.049357,-0.089074,0.196125,0.209985,1.22536,2.964,9.9012
15.6687,0.195221,0.225685,1.22018,-0.827,8.1362,178.0991,-0.173448,2.021828,-0.097415,-0.057149,-0.000847,-0.041422,0.997506,-0.171907,2.04472,-0.085058,0.197836,0.215854,1.220749,1.078,10.1884
15.8172,0.196383,0.230538,1.216416,-0.906,8.2108,178.1958,-0.169538,2.017725,-0.093968,-0.058105,-0.00133,-0.041001,0.997467,-0.168027,2.040642,-0.081655,0.199287,0.220825,1.216693,0.578,10.1418
15.9654,0.197251,0.234176,1.213543,-0.9656,8.2673,178.2688,-0.166951,2.014805,-0.091456,-0.057808,-0.001923,-0.038013,0.997602,-0.165589,2.037724,-0.07913,0.200548,0.224111,1.213788,7.112,10.5934
16.1044,0.197804,0.236495,1.211687,-1.0039,8.3036,178.3156,-0.164732,2.012808,-0.090311,-0.06031,0.001285,-0.041796,0.997303,-0.163113,2.035774,-0.078103,0.200438,0.226803,1.211856,4.864,10.044
16.2499,0.198124,0.237837,1.210605,-1.0261,8.3248,178.3427,-0.163737,2.011724,-0.088934,-0.058506,-0.002461,-0.040389,0.997467,-0.162284,2.034654,-0.076639,0.201416,0.228173,1.210737,7.5,10.2099
16.3933,0.198232,0.238334,1.210294,-1.0302,8.3268,178.3485,-0.16355,2.011453,-0.088763,-0.05918,7.4e-05,-0.04007,0.997443,-0.162042,2.034398,-0.076502,0.201438,0.228453,1.210483,0.942,10.3909
16.5377,0.198612,0.24032,1.209468,-1.0282,8.3087,178.352,-0.161758,2.010647,-0.087861,-0.060046,0.001885,-0.041199,0.997343,-0.160149,2.033608,-0.075641,0.201428,0.230537,1.209707,4.619,10.1837
16.684,0.199379,0.2444,1.207757,-1.0241,8.2714,178.3592,-0.158614,2.008929,-0.085587,-0.061131,0.002055,-0.039234,0.997356,-0.157086,2.031921,-0.073418,0.202164,0.234258,1.20804,0.543,10.521
16.8284,0.200484,0.250449,1.205182,-1.018,8.216,178.3699,-0.153429,2.006306,-0.081903,-0.05938,0.002213,-0.043285,0.997294,-0.151719,2.029243,-0.069653,0.203335,0.240722,1.205395,2.578,10.1387
16.9743,0.201652,0.257093,1.2023,-1.0112,8.1551,178.3818,-0.148279,2.003291,-0.077786,-0.061718,-0.004261,-0.033489,0.997523,-0.147177,2.026319,-0.065639,0.205076,0.246541,1.202497,-0.68,11.0953
17.1193,0.202423,0.261645,1.200293,-1.0065,8.1132,178.3899,-0.144938,2.001354,-0.074937,-0.063985,-0.015824,-0.024153,0.997533,-0.144562,2.024462,-0.062898,0.206467,0.250072,1.200653,2.92,12.2641
17.2656,0.202847,0.264204,1.199154,-1.0038,8.0897,178.3944,-0.142059,2.000135,-0.073277,-0.058524,-0.005865,-0.033735,0.997699,-0.140993,2.023086,-0.060981,0.206716,0.254124,1.199302,-1.241,10.7979
17.4116,0.202971,0.264959,1.198816,-1.0031,8.0827,178.3958,-0.141862,1.999944,-0.073041,-0.060656,-0.010229,-0.029271,0.997677,-0.141112,2.022961,-0.060844,0.206888,0.254074,1.199175,3.508,11.5738
17.5606,0.203288,0.26691,1.19794,-1.0013,8.0647,178.3991,-0.140706,1.998825,-0.071981,-0.063428,-0.01519,-0.024836,0.997562,-0.140284,2.021919,-0.059914,0.207382,0.255221,1.198137,2.429,12.3868
17.7089,0.203933,0.270966,1.196102,-0.9975,8.0274,178.406,-0.136763,1.997178,-0.0698,-0.06166,-0.007524,-0.03283,0.997529,-0.135779,2.02021,-0.057648,0.207557,0.260271,1.19646,0.534,11.2979
17.8524,0.204848,0.27692,1.193367,-0.992,7.9723,178.4161,-0.132378,1.994315,-0.066838,-0.066817,-0.018029,-0.023907,0.997316,-0.132068,2.017493,-0.054931,0.208464,0.264793,1.193766,2.043,12.661
17.9995,0.205819,0.283542,1.19027,-0.9858,7.911,178.4274,-0.126027,1.991081,-0.062518,-0.056765,-0.00119,-0.037206,0.997693,-0.124683,2.013976,-0.050144,0.20972,0.273524,1.190297,-0.668,10.7509
18.1467,0.206451,0.288048,1.188129,-0.9815,7.8691,178.4352,-0.122263,1.988797,-0.059726,-0.055009,-0.002627,-0.036588,0.997812,-0.120987,2.011651,-0.04727,0.210779,0.278096,1.187995,4.176,10.8533
18.2952,0.20679,0.290536,1.186936,-0.9792,7.846,178.4394,-0.120714,1.987665,-0.05902,-0.065865,-0.017969,-0.021178,0.997442,-0.120526,2.010823,-0.04707,0.210763,0.278603,1.18717,2.47,12.5783
18.4408,0.206897,0.291306,1.186545,-0.9714,7.8308,178.4424,-0.119457,1.987356,-0.058349,-0.057992,-0.002965,-0.035361,0.997686,-0.118241,2.010288,-0.04603,0.210755,0.281117,1.186652,7.433,10.8953
18.5896,0.207244,0.293741,1.185191,-0.9049,7.7358,178.4614,-0.117575,1.986067,-0.056972,-0.053728,0.000119,-0.035848,0.997912,-0.116257,2.008888,-0.04446,0.211347,0.283583,1.185264,6.424,10.9555
18.7339,0.20791,0.298531,1.182503,-0.7739,7.5489,178.4983,-0.113497,1.983482,-0.05447,-0.056248,-0.007151,-0.033524,0.997828,-0.112479,2.006379,-0.042068,0.211933,0.288031,1.182781,0.526,11.2477
18.8784,0.208875,0.305799,1.178362,-0.5742,7.2649,178.5531,-0.107729,1.979362,-0.050767,-0.05089,-0.000178,-0.037875,0.997986,-0.106333,2.002107,-0.038126,0.212931,0.295288,1.178548,1.166,11.2683
19.0233,0.210055,0.315309,1.172829,-0.3113,6.8927,178.6225,-0.100378,1.974239,-0.046161,-0.050056,-0.005143,-0.032312,0.99821,-0.099366,1.996981,-0.033478,0.214222,0.303591,1.173468,6.211,12.4536
19.1688,0.211407,0.327272,1.165681,0.0222,6.4234,178.7059,-0.089742,1.967124,-0.039773,-0.042737,-0.000989,-0.037776,0.998371,-0.088382,1.98966,-0.02676,0.215708,0.316422,1.166221,2.226,11.6833
19.3142,0.212663,0.339845,1.157937,0.3762,5.9287,178.7891,-0.079479,1.959388,-0.033491,-0.040914,-0.009128,-0.031002,0.99864,-0.078647,1.981901,-0.020392,0.217394,0.327975,1.158526,0.548,12.7908
19.4594,0.213573,0.350221,1.151362,0.6713,5.5191,178.8541,-0.069672,1.952853,-0.02811,-0.032462,-0.00163,-0.039492,0.998691,-0.068266,1.975114,-0.014635,0.218262,0.339854,1.151811,1.077,11.3867
19.6014,0.214176,0.35798,1.146335,0.8938,5.212,178.9005,-0.062991,1.947757,-0.024347,-0.028456,-0.001082,-0.03853,0.998852,-0.061616,1.969911,-0.010694,0.219042,0.347575,1.146653,1.383,11.49
19.7473,0.214568,0.363544,1.142671,1.0544,4.9914,178.9327,-0.057974,1.943877,-0.02198,-0.02837,-0.002928,-0.040546,0.998771,-0.056565,1.966025,-0.008322,0.21907,0.353182,1.142804,4.468,11.2983
19.891,0.214783,0.366822,1.140487,1.1494,4.8612,178.9512,-0.055613,1.941788,-0.020537,-0.035689,-0.019685,-0.025029,0.998855,-0.055346,1.96418,-0.00721,0.21956,0.354765,1.140965,-0.931,12.978
20.0366,0.21485,0.36789,1.139777,1.1789,4.8205,178.9569,-0.054146,1.940936,-0.019768,-0.025012,-0.002731,-0.038856,0.998928,-0.052809,1.962997,-0.005961,0.219632,0.3576,1.1398,3.073,11.3475
20.1847,0.214914,0.369287,1.138959,1.177,4.8124,178.9584,-0.053416,1.94011,-0.019211,-0.030306,-0.011086,-0.031784,0.998974,-0.052618,1.96234,-0.005637,0.219843,0.357912,1.139144,1.071,12.399
20.334,0.215056,0.372586,1.137016,1.1726,4.7932,178.9621,-0.049967,1.938249,-0.017531,-0.023426,0.00118,-0.04211,0.998838,-0.048378,1.960251,-0.003658,0.219863,0.362605,1.137086,0.642,11.0784
20.4896,0.215263,0.378102,1.133728,1.1652,4.7608,178.9682,-0.045438,1.935052,-0.015197,-0.025723,0.000217,-0.039677,0.998881,-0.043979,1.957127,-0.001425,0.220042,0.367554,1.133993,6.453,11.5829
20.6356,0.215446,0.384174,1.130051,1.157,4.725,178.975,-0.040128,1.931167,-0.012311,-0.025868,-0.006618,-0.035024,0.99903,-0.039068,1.953264,0.001461,0.220595,0.373246,1.130164,2.246,12.081
20.7807,0.215547,0.388483,1.127407,1.1512,4.6995,178.9798,-0.035839,1.92835,-0.010366,-0.023642,0.002222,-0.043247,0.998782,-0.03417,1.950353,0.003496,0.220387,0.378566,1.12729,5.528,11.0353
