elapsed_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,rb_raw_x_m,rb_raw_y_m,rb_raw_z_m,rb_qx,rb_qy,rb_qz,rb_qw,rb_aligned_x_m,rb_aligned_y_m,rb_aligned_z_m,mocap_age_ms,error_mm
5.9027,0.094882,-0.067176,1.322858,0.6528,4.8542,175.1557,-0.393993,2.127529,-0.316,0.022199,0.019569,0.047561,-0.99843,0.130546,-0.079474,1.314488,0.555,38.6422
6.0243,0.096957,-0.063254,1.322003,0.6294,5.2186,175.1902,-0.391345,2.126682,-0.312617,0.027503,0.025635,0.047727,-0.998153,0.132335,-0.075571,1.31363,3.909,38.3849
6.1658,0.100004,-0.057415,1.320688,0.5945,5.7607,175.241,-0.387786,2.12522,-0.307388,0.030247,0.017945,0.049797,-0.99814,0.135337,-0.070012,1.312137,6.069,38.474
6.2967,0.103441,-0.050712,1.319118,0.5544,6.3827,175.2985,-0.383415,2.123541,-0.300861,0.035932,0.021965,0.05019,-0.997851,0.139122,-0.063138,1.310418,3.15,38.7722
6.4085,0.106575,-0.044485,1.317601,0.517,6.9601,175.3512,-0.37916,2.121729,-0.295218,0.04013,0.022502,0.053056,-0.997531,0.142167,-0.056767,1.308584,6.962,38.7161
6.5108,0.109013,-0.039564,1.316364,0.4874,7.4162,175.3922,-0.375552,2.120309,-0.290557,0.045282,0.021992,0.055668,-0.99718,0.144642,-0.051422,1.307147,1.299,38.6654
6.6255,0.111296,-0.034891,1.315156,0.4592,7.8493,175.4308,-0.37285,2.119015,-0.286379,0.049137,0.023357,0.052731,-0.997126,0.147101,-0.047105,1.305825,6.536,38.9656
6.7251,0.112833,-0.031708,1.314316,0.4399,8.1442,175.4568,-0.370409,2.11798,-0.283396,0.051274,0.022562,0.055185,-0.996904,0.148622,-0.043566,1.304783,7.205,38.8889
6.7464,0.11313,-0.031089,1.314151,0.4362,8.2015,175.4618,-0.369667,2.117824,-0.282565,0.050143,0.022859,0.058054,-0.996791,0.149022,-0.042526,1.304627,2.911,38.8556
6.8739,0.114513,-0.028193,1.313371,0.4186,8.4698,175.4852,-0.367743,2.116888,-0.280275,0.053534,0.019065,0.058927,-0.996644,0.150162,-0.039761,1.303687,0.609,38.7096
6.9872,0.115251,-0.026639,1.312948,0.4092,8.6138,175.4978,-0.36695,2.116421,-0.278269,0.055012,0.023537,0.054955,-0.996694,0.151576,-0.03814,1.303194,2.37,39.3309
7.1256,0.115581,-0.02594,1.312763,0.4052,8.6744,175.5032,-0.366547,2.11629,-0.277863,0.055293,0.023904,0.055159,-0.996659,0.15175,-0.037596,1.303063,7.757,39.2191
7.2437,0.116069,-0.0249,1.312648,0.405,8.6677,175.5065,-0.365725,2.116079,-0.277163,0.055606,0.019349,0.057732,-0.996595,0.151996,-0.036543,1.302856,0.698,39.0145
7.3488,0.117062,-0.022776,1.312409,0.4045,8.6539,175.5132,-0.364554,2.116017,-0.275246,0.054518,0.023715,0.054483,-0.996743,0.153172,-0.03463,1.30278,5.941,39.206
7.4582,0.11864,-0.019379,1.312016,0.4039,8.6319,175.524,-0.361772,2.11549,-0.272477,0.054943,0.026439,0.056963,-0.996513,0.154364,-0.030889,1.302259,6.679,38.78
7.5767,0.120938,-0.014383,1.311413,0.4029,8.5996,175.5399,-0.358523,2.114834,-0.268824,0.054195,0.021219,0.057211,-0.996664,0.156128,-0.02633,1.3016,8.821,38.4367
7.7143,0.123988,-0.007657,1.310557,0.4015,8.5561,175.5612,-0.353388,2.113864,-0.262544,0.052511,0.017693,0.059136,-0.996711,0.15937,-0.018896,1.300615,4.279,38.4327
7.8334,0.126046,-0.003054,1.309942,0.4006,8.5263,175.5758,-0.350325,2.113309,-0.25892,0.055336,0.022069,0.05505,-0.996705,0.161195,-0.014517,1.300053,6.911,38.2708
7.9437,0.127353,-0.000106,1.309535,0.4,8.5072,175.5851,-0.348053,2.112929,-0.256067,0.05434,0.023511,0.054452,-0.996759,0.162698,-0.011195,1.299664,0.605,38.3362
8.0588,0.128134,0.001667,1.309285,0.3996,8.4957,175.5907,-0.346698,2.112663,-0.254169,0.052109,0.023947,0.053969,-0.996894,0.163768,-0.009124,1.299388,-0.734,38.5249
8.1651,0.128371,0.002214,1.309202,0.4002,8.4917,175.5942,-0.346507,2.112667,-0.25395,0.052419,0.023565,0.053819,-0.996895,0.163876,-0.008854,1.299393,5.362,38.4619
8.2731,0.128766,0.003216,1.308978,0.4106,8.477,175.6229,-0.345698,2.112312,-0.253411,0.053905,0.023904,0.054765,-0.996757,0.163978,-0.007884,1.299045,4.291,38.2335
8.3757,0.129608,0.005365,1.308493,0.433,8.4455,175.6845,-0.34404,2.111761,-0.252367,0.055009,0.020913,0.057888,-0.996587,0.164142,-0.005927,1.298513,7.732,37.6787
8.4741,0.130806,0.008448,1.307787,0.465,8.4003,175.7728,-0.342011,2.111157,-0.249951,0.054398,0.017854,0.056557,-0.996756,0.165356,-0.003017,1.297904,5.413,37.7207
8.4959,0.131128,0.009281,1.307595,0.4736,8.3881,175.7966,-0.34123,2.110885,-0.249052,0.051624,0.015664,0.059311,-0.996781,0.165795,-0.00191,1.297631,2.748,37.7668
8.6096,0.133096,0.014427,1.306389,0.5271,8.3128,175.9438,-0.338007,2.109936,-0.245195,0.051454,0.021884,0.054001,-0.996974,0.167744,0.002722,1.296674,8.061,37.8396
8.7203,0.135455,0.020707,1.304876,0.5923,8.2208,176.1234,-0.333041,2.108277,-0.240796,0.053473,0.021135,0.055779,-0.996786,0.169363,0.009162,1.295039,1.912,37.1466
