iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,new_node_collision_count,random_new_node_collision_count,rewire_collision_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
47,add_node,goal_bias,47,49,0.1672692000065581,,,0,0,0,True,False,,,,best_parent=47,1.0960527642382405,"[4.814288, 0.669296, 2.035995, -0.737165, 0.604246, 2.117421, 1.550944, 2.161146]","[5.069542, 0.733682, 2.250939, -0.744394, 0.659218, 2.316512, 1.763567, 2.35151]","[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]"
48,add_node,goal_bias,48,50,0.16842460000043502,,,0,0,0,True,False,,,,best_parent=47,1.1760527642382403,"[4.814288, 0.669296, 2.035995, -0.737165, 0.604246, 2.117421, 1.550944, 2.161146]","[5.324796, 0.798069, 2.465883, -0.751622, 0.714189, 2.515603, 1.976191, 2.541873]","[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]"
49,add_node,random,35,51,0.17442580000351882,,,0,0,0,True,False,,,,best_parent=0,0.34361806093818786,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.88367, 0.321575, -0.142925, 0.105264, -0.895611, -0.748394, 0.010035, -0.031894]","[3.899237, 0.83815, -0.919452, -0.367701, -2.911983, -1.668775, 1.585463, -1.507991]"
50,add_node,random,39,52,0.17787120000139112,,,0,0,0,True,False,,,,best_parent=39,0.834056241030276,"[4.381828, 0.040773, 1.248426, -0.660964, 0.20518, 1.461444, 0.843856, 0.916675]","[4.690081, 0.04405, 1.103088, -0.322608, 0.204383, 1.501487, 1.048803, 1.030863]","[6.463623, 0.0629, 0.266877, 1.624128, 0.199796, 1.731877, 2.227972, 1.687843]"
51,add_node,random,35,53,0.1826234000036493,,,0,0,0,True,False,,,,best_parent=0,0.313656064121556,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.778353, 0.190791, 0.229271, 0.410674, -0.792453, -0.717028, -0.230465, 0.325769]","[3.035491, -0.350696, 2.504459, 2.451438, -2.068402, -1.430261, -0.56412, 1.739517]"
52,add_node,random,44,54,0.1856236000021454,,,0,0,0,True,False,,,,best_parent=44,0.8335423185697405,"[4.22457, -0.007352, 0.960879, -0.626197, -0.083297, 1.644765, 0.72893, 0.912523]","[4.42434, -0.061662, 0.663113, -0.619688, -0.008772, 1.718267, 0.594188, 0.629175]","[6.826557, -0.71474, -2.917494, -0.54142, 0.887389, 2.602123, -1.026073, -2.77806]"
53,add_node,random,36,55,0.18836360000568675,,,0,0,0,True,False,,,,best_parent=18,0.8078578352602874,"[3.369443, 0.393686, 0.569872, -0.747923, 0.789887, 0.404882, -0.132921, 1.0639]","[4.360436, 0.444972, 0.013185, 0.286626, 0.626601, 0.449289, -0.499064, 1.589695]","[2.0723, 0.978399, -0.722991, 1.415215, 0.225207, 1.233579, -0.265109, 3.070604]"
54,add_node,random,44,56,0.19170620000659255,,,0,0,0,True,False,,,,best_parent=44,0.8335423185697405,"[4.22457, -0.007352, 0.960879, -0.626197, -0.083297, 1.644765, 0.72893, 0.912523]","[4.171247, 0.019819, 1.139945, -0.385364, -0.312415, 1.769281, 0.732052, 0.620537]","[3.630619, 0.295298, 2.955424, 2.056345, -2.635352, 3.031701, 0.763707, -2.339801]"
55,add_node,goal_bias,49,57,0.19312880000506993,,,0,0,0,True,False,,,,best_parent=49,1.2560527642382404,"[5.324796, 0.798069, 2.465883, -0.751622, 0.714189, 2.515603, 1.976191, 2.541873]","[5.58005, 0.862455, 2.680827, -0.758851, 0.769161, 2.714693, 2.188814, 2.732237]","[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]"
56,add_node,goal_bias,56,58,0.19456040000659414,,,0,0,0,True,False,,,,best_parent=56,1.3360527642382405,"[5.58005, 0.862455, 2.680827, -0.758851, 0.769161, 2.714693, 2.188814, 2.732237]","[5.835304, 0.926841, 2.895771, -0.766079, 0.824132, 2.913784, 2.401438, 2.9226]","[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]"
