iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,reason,cost,from_q,to_q,sample_q
64,add_node,random,33,66,True,False,,best_parent=0,0.38713074522720353,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.215054, 0.040031, 1.497011, 0.477448, 0.57007, 0.795186, -0.454004, 1.153029]","[0.44714, -0.177451, 2.587828, -0.824374, -0.406652, -0.420858, -1.559973, 2.06908]"
65,add_node,random,55,67,True,False,,best_parent=0,0.451696762820665,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.892728, -0.098161, 1.277626, -0.098239, 0.226048, 1.65259, 0.51095, 1.001295]","[3.106345, -0.35383, 2.261713, -0.190952, -0.513695, 2.561716, 0.764805, 1.457401]"
66,add_node,goal_bias,35,68,True,False,,best_parent=0,0.42134629801369444,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.124348, -0.545303, -0.328911, -0.218768, -0.628648, 0.261581, -0.678489, 0.371487]","[2.053633, -1.0, 0.352362, -0.635075, -1.315819, 0.380094, -1.570809, 1.218425]"
67,add_node,random,48,69,True,False,,best_parent=0,0.42519626938644295,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.985082, -0.011181, 0.88419, 0.323563, 1.095306, 0.919831, -0.581593, 1.169727]","[4.009067, 0.25668, 0.45876, -1.145222, 1.032625, 1.455436, -1.785187, 2.028317]"
68,add_node,random,40,70,True,False,,best_parent=0,0.5961608771027781,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.739908, 0.095757, 1.195823, 1.04873, 0.94424, 0.703838, 0.581047, -0.912805]","[7.362615, -0.6662, 1.582873, 1.350947, 0.939857, 1.731367, -0.370971, -2.934116]"
69,add_node,random,27,71,True,False,,best_parent=0,0.32364116589584063,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.649777, 0.17375, -0.623121, 0.596808, 0.632767, -0.134838, 0.77392, 0.592733]","[1.739661, 0.762641, -1.653707, 2.265067, 2.545381, 0.876592, 2.396158, 2.118213]"
70,add_node,goal_bias,67,72,True,False,,best_parent=0,0.47574439129212953,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.107923, -0.650912, -0.170677, -0.315461, -0.788252, 0.289107, -0.885742, 0.5682]","[2.053633, -1.0, 0.352362, -0.635075, -1.315819, 0.380094, -1.570809, 1.218425]"
71,add_node,random,57,73,True,False,,best_parent=0,0.4076555363471811,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.020186, -0.251953, -0.018676, -0.811131, -0.965381, -0.016162, -1.066419, -0.788271]","[3.747548, -0.46914, 1.984065, -2.057675, -1.615539, 1.116583, -1.789907, -2.377486]"
72,add_node,random,40,74,True,False,,best_parent=0,0.5390398037227437,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.200983, 0.140286, 1.278691, 1.016052, 0.849091, 0.188215, 0.819825, -0.833396]","[2.202652, -0.158551, 2.210367, 1.023563, 0.142025, -2.776907, 1.800445, -1.912371]"
73,add_node,random,72,75,True,False,,best_parent=0,0.42460335002773014,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.199979, -0.248593, 0.216073, -0.690536, -0.719967, 0.067317, -1.093801, -1.095306]","[3.089333, -0.231973, 1.377266, -0.094005, 0.493983, 0.480246, -1.229245, -2.614072]"
74,add_node,goal_bias,71,76,True,False,,best_parent=0,0.536593653374686,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.091499, -0.756522, -0.012442, -0.412153, -0.947857, 0.316633, -1.092995, 0.764912]","[2.053633, -1.0, 0.352362, -0.635075, -1.315819, 0.380094, -1.570809, 1.218425]"
75,add_node,random,69,77,True,False,,best_parent=0,0.6159045381662056,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.999584, -0.000961, 1.200729, 1.074675, 0.691226, 0.581594, 0.775727, -0.915057]","[6.34917, -0.876088, 1.245114, 1.309431, -1.59809, -0.524485, 2.537225, -0.935433]"
76,add_node,random,70,78,True,False,,best_parent=0,0.3465621886830161,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.744907, 0.151841, -0.606467, 0.328041, 0.560725, -0.023288, 1.153152, 0.682125]","[2.238668, 0.038126, -0.520027, -1.066968, 0.186799, 0.555707, 3.121522, 1.146109]"
