iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
45,add_node,random,36,41,0.23706139999922016,,,True,False,,,,best_parent=4,0.41549113621799655,"[5.775809, -0.284034, -1.611511, -1.634198, -1.169398, 0.532561, 0.688442, -1.556157]","[4.078064, -0.145809, -1.042201, -1.593049, -0.708391, 1.149771, -0.127508, -1.54017]","[3.44283, -0.162691, 2.114726, -2.024485, -2.601036, 2.496067, -1.927243, -2.703908]"
46,add_node,random,39,42,0.2394758999998885,,,True,False,,,,best_parent=27,0.7011196455808526,"[4.665342, 0.021307, -1.471402, -0.773353, -0.711088, 1.075059, 0.114116, -1.102233]","[3.905527, 0.247958, -0.301766, -0.099383, 0.088507, 0.784625, -0.1631, -0.658365]","[3.90003, 0.256287, 1.115183, -0.236449, 0.519235, -0.136269, 0.016855, -1.328723]"
47,add_node,random,11,43,0.24378040000010515,,,True,False,,,,best_parent=0,0.1443922871099809,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[6.508634, -0.284611, -1.999208, -1.775836, -0.476584, 0.000347, 1.262491, -1.60388]","[7.43009, 0.227465, -2.321985, -1.286852, 1.782802, -0.643708, 2.573531, -3.12596]"
48,add_node,random,39,44,0.2465195999993739,,,True,False,,,,best_parent=27,0.7256541845905873,"[4.665342, 0.021307, -1.471402, -0.773353, -0.711088, 1.075059, 0.114116, -1.102233]","[3.620413, 0.241697, -0.788808, 0.144405, 0.235788, 1.077086, -0.406359, -0.288366]","[0.463963, 0.197226, -1.987392, 2.426563, 3.124297, 1.590911, -2.556593, 1.816041]"
49,add_node,random,37,45,0.25181399999928544,,,True,False,,,,best_parent=0,0.3194250174362562,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[5.189935, -0.624428, -1.0239, -0.962422, -1.214439, -0.027812, 1.268007, -0.375812]","[7.09074, -0.89374, 0.871353, -1.659113, -1.037684, 2.066541, 1.252136, 2.592178]"
50,add_node,random,41,46,0.2543587000000116,,,True,False,,,,best_parent=27,0.726734112558936,"[4.665342, 0.021307, -1.471402, -0.773353, -0.711088, 1.075059, 0.114116, -1.102233]","[3.951188, 0.228613, -0.132453, 0.145841, -0.098786, 0.493405, -0.281062, -0.815827]","[4.433643, 0.024208, 1.656517, 2.736896, -2.077734, -2.583641, -1.527457, -2.479582]"
51,add_node,random,43,47,0.2579734999999346,,,True,False,,,,best_parent=27,0.7436427671800845,"[4.665342, 0.021307, -1.471402, -0.773353, -0.711088, 1.075059, 0.114116, -1.102233]","[3.321252, 0.189999, -1.049094, 0.135028, 0.183827, 0.929997, -0.516873, -0.033194]","[1.180967, -0.179867, -2.911256, 0.067941, -0.187917, -0.122316, -1.307524, 1.792378]"
52,add_node,random,33,48,0.261355900000126,,,True,False,,,,best_parent=20,0.6593176462943998,"[4.746113, -0.070535, -1.689946, -0.923455, -0.895663, 0.905961, 0.293362, -1.096282]","[4.273927, 0.144848, -0.311094, -0.23649, -0.42047, 1.008904, -0.484585, -0.170309]","[3.625548, -0.654241, 3.035174, -1.366265, -1.24588, 1.184749, -2.170557, 2.698159]"
53,add_node,random,22,49,0.26592559999880905,,,True,False,,,,best_parent=17,0.4085572677973328,"[5.207183, 0.09373, -1.240246, -1.231968, -1.433563, 0.202179, 0.976351, -1.5268]","[5.432762, 0.166928, -0.9081, -0.674026, -1.417911, 0.264865, 1.126796, -1.371629]","[6.080211, 0.352433, -0.998249, 0.939597, -0.886972, 0.703235, 2.372853, 0.335897]"
54,add_node,random,47,50,0.26918490000025486,,,True,False,,,,best_parent=27,0.7110604413526288,"[4.665342, 0.021307, -1.471402, -0.773353, -0.711088, 1.075059, 0.114116, -1.102233]","[4.418367, 0.217267, -0.145816, -0.38123, -0.62151, 0.723676, -0.609315, -0.126526]","[5.865188, 0.942666, 1.509737, -1.83105, -2.635272, -2.133373, -1.858701, 0.312041]"
